                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4714,                 1.9355,                0.96029,                 1.6856,                 3.1276,                0.92046,                0.04167,                0.04762,                 0.0661,                0.03966,                 2.1551,                 3.9834,                 0.9745,                 2.0768,                 4.4308,                0.91497,              0.0070838,              0.0070838,              0.0070838
                     25,                 1.6274,                 1.7785,                0.97921,                 1.8323,                 2.9771,                0.92991,                0.04444,                0.09524,                 0.1109,                0.02555,                 2.2481,                 3.9816,                 1.0274,                 2.1103,                 4.5542,                0.95602,              0.0073824,              0.0073824,              0.0073824
                     26,                  1.505,                 1.7172,                0.94029,                 1.8495,                  2.774,                0.91368,                0.03509,                0.09524,                0.08422,                0.03444,                 1.9273,                 3.9619,                0.96541,                 1.9886,                  4.383,                0.90722,              0.0076809,              0.0076809,              0.0076809
                     27,                 1.5526,                 1.6089,                0.99398,                 1.5689,                 2.7194,                0.94758,                0.01271,                0.06614,                0.04799,                 0.0096,                 2.5698,                 3.9953,                 1.1038,                 2.0803,                 4.7009,                 1.0488,              0.0079794,              0.0079794,              0.0079794
                     28,                 1.6098,                 1.6741,                0.99872,                 1.6777,                 2.7114,                0.93667,                0.01705,                0.06614,                0.05602,                0.01662,                 2.3833,                 3.9668,                 1.0756,                 2.0454,                 4.5612,                0.94227,              0.0082778,              0.0082778,              0.0082778
                     29,                  1.692,                 1.8235,                0.97602,                 1.7432,                 2.7615,                0.92292,                0.00117,                0.01852,                0.01889,                0.00378,                 2.2701,                 3.9757,                 1.0952,                 1.7486,                 4.5911,                0.99856,              0.0085762,              0.0085762,              0.0085762
                     30,                 1.4362,                 1.6642,                0.97688,                 1.6512,                 3.0532,                0.94262,                0.02504,                0.06614,                0.06008,                0.03541,                 1.9909,                 3.7922,                 0.9863,                 1.7918,                 4.3219,                0.91182,              0.0088744,              0.0088744,              0.0088744
                     31,                 1.5406,                 1.6046,                0.98285,                 1.7628,                 2.5976,                0.93429,                0.04116,                0.42328,                0.40278,                0.14011,                 2.4199,                 3.5212,                 1.0569,                 2.2243,                 3.9085,                 1.0212,              0.0091727,              0.0091727,              0.0091727
                     32,                 1.5751,                 1.5877,                 1.0034,                 1.6607,                 2.4937,                0.93755,                0.52197,                0.35662,                0.29082,                0.17983,                 1.9864,                  3.438,                0.99175,                 2.0031,                 3.7929,                0.96346,              0.0094708,              0.0094708,              0.0094708
                     33,                 1.5528,                 1.7076,                0.99211,                 1.7942,                 2.7223,                0.95295,                0.00939,                0.25132,                0.12584,                0.06919,                 2.2602,                 3.7731,                 1.0644,                 1.9278,                 4.2433,                0.93161,               0.009769,               0.009769,               0.009769
                     34,                 1.4277,                 1.7316,                0.97303,                   1.66,                 2.7544,                 0.9345,                0.73016,                0.57192,                0.62008,                0.28102,                 1.8056,                 2.8546,                0.92332,                 1.8468,                 3.3547,                0.89284,              0.0099673,              0.0099673,              0.0099673
                     35,                 1.5488,                 1.6783,                  1.022,                 1.5481,                 2.7696,                  0.949,                0.84203,                0.61133,                 0.6568,                0.24192,                 2.4089,                 2.7119,                 1.1918,                 2.3124,                 3.5147,                 1.0294,              0.0099673,              0.0099673,              0.0099673
                     36,                 1.5407,                 1.5181,                 1.0035,                 1.6352,                 2.4051,                0.95164,                0.87029,                 0.0793,                0.37015,                0.11991,                 2.5257,                 2.9345,                  1.204,                 1.9691,                  3.939,                 1.0565,              0.0099663,              0.0099663,              0.0099663
                     37,                 1.6075,                 1.4808,                 1.0163,                 1.7289,                 2.4487,                0.95843,                0.02043,                0.41005,                0.19396,                0.05563,                 2.1717,                 3.3081,                 1.0668,                 1.8219,                 4.0226,                 1.0338,              0.0099654,              0.0099654,              0.0099654
                     38,                 1.5074,                 1.5109,                0.98383,                  1.777,                 2.5534,                0.94162,                 0.2205,                0.64286,                0.34079,                 0.1413,                 2.0152,                 2.8498,                 1.0339,                 2.0613,                 3.5568,                 1.0054,              0.0099644,              0.0099644,              0.0099644
                     39,                 1.3699,                  1.412,                0.99083,                 1.6125,                 2.4183,                0.95712,                0.79597,                0.01852,                0.12041,                0.01999,                 2.3538,                 3.2239,                 1.1088,                  2.275,                 4.0107,                  1.087,              0.0099634,              0.0099634,              0.0099634
                     40,                 1.4027,                 1.4209,                0.97726,                   1.57,                 2.2922,                 0.9393,                0.61379,                0.17805,                0.26387,                0.09096,                  2.206,                 2.6044,                 1.0897,                  2.139,                 3.3919,                 1.0808,              0.0099624,              0.0099624,              0.0099624
                     41,                 1.4947,                 1.4299,                 0.9931,                 1.6322,                 2.2734,                  0.951,                0.76751,                0.09259,                0.05105,                0.02422,                  2.168,                 3.3011,                  1.067,                 1.9385,                 3.6627,                 1.0417,              0.0099614,              0.0099614,              0.0099614
                     42,                 1.5012,                 1.4684,                0.98385,                 1.7026,                 2.2604,                 0.9325,                0.53869,                0.34921,                0.33046,                0.17366,                 2.0143,                 2.1369,                 1.0179,                 1.7772,                 2.9693,                0.93746,              0.0099604,              0.0099604,              0.0099604
                     43,                 1.4086,                 1.4054,                0.98344,                 1.7034,                  2.349,                0.94513,                0.52025,                0.15079,                0.24245,                0.13432,                 2.1264,                 2.2985,                 1.0893,                 2.0482,                 3.1043,                0.99456,              0.0099594,              0.0099594,              0.0099594
                     44,                 1.4718,                 1.3768,                0.99268,                 1.5339,                 2.2047,                0.94087,                0.45192,                0.19048,                0.40859,                0.18648,                 2.0152,                  2.446,                 1.0323,                 2.0763,                 3.3114,                0.98154,              0.0099584,              0.0099584,              0.0099584
                     45,                  1.412,                 1.3756,                0.97735,                 1.6295,                 2.2638,                0.93612,                0.28315,                0.24117,                0.29088,                0.15572,                 2.0186,                 2.3408,                0.99152,                 1.9257,                 3.0227,                0.96783,              0.0099574,              0.0099574,              0.0099574
                     46,                 1.5637,                 1.2993,                0.99524,                 1.6256,                 1.9656,                0.94488,                 0.1694,                0.19405,                0.18534,                0.09025,                 1.9462,                 2.2919,                 1.0086,                 2.0191,                 2.6721,                0.99688,              0.0099564,              0.0099564,              0.0099564
                     47,                 1.4511,                  1.325,                0.98169,                 1.6302,                 1.9554,                0.95203,                0.65909,                0.17725,                0.25567,                0.11301,                 1.8467,                 2.1159,                0.99205,                 1.9948,                 2.6379,                0.99127,              0.0099555,              0.0099555,              0.0099555
                     48,                 1.3431,                 1.2701,                0.98891,                 1.5429,                 2.0172,                0.96084,                0.90389,                0.27367,                0.58588,                 0.3158,                 1.9079,                 1.7617,                 1.0179,                 1.9097,                 2.6461,                0.97074,              0.0099545,              0.0099545,              0.0099545
