                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.5506,                  1.449,                0.96003,                 1.7607,                 2.6585,                0.91541,                 0.0152,                 0.1037,                0.05732,                 0.0193,                 2.3149,                 4.0575,                0.88947,                 2.2469,                 4.2101,                0.87298,              0.0010524,              0.0010524,              0.0010524
                     26,                 1.4781,                 1.4628,                 1.0303,                 1.6815,                 2.7651,                0.97397,                0.05517,                0.26243,                0.16591,                0.03676,                 2.2815,                 3.8527,                0.87501,                 2.2779,                 4.1158,                0.85263,              0.0010949,              0.0010949,              0.0010949
                     27,                 1.3883,                 1.4018,                0.94266,                  1.574,                 2.5218,                0.91169,                0.02657,                 0.2836,                0.14741,                0.03909,                 2.1322,                  3.757,                0.86591,                 2.2569,                 4.0207,                0.85819,              0.0011373,              0.0011373,              0.0011373
                     28,                 1.4295,                 1.4788,                0.95435,                 1.7983,                 2.6829,                0.91416,                0.05068,                0.33757,                0.16089,                0.04824,                 2.1364,                 3.7277,                0.86765,                    2.4,                 4.0127,                0.86327,              0.0011797,              0.0011797,              0.0011797
                     29,                 1.4686,                 1.4302,                0.94782,                   1.65,                 2.3575,                0.90779,                0.41669,                0.09444,                0.11611,                0.02782,                 2.5961,                 3.6719,                0.92524,                 2.5327,                 4.0007,                0.88312,              0.0012221,              0.0012221,              0.0012221
                     30,                 1.5914,                 1.5262,                0.96853,                 1.9188,                 2.8119,                 0.9304,                 0.0446,                0.37672,                0.17299,                0.06082,                 2.6992,                 3.5791,                0.94096,                 2.4572,                 3.8635,                0.88598,              0.0012645,              0.0012645,              0.0012645
                     31,                 1.4566,                 1.3424,                  0.961,                 1.6153,                  2.367,                0.90372,                0.04865,                0.41376,                0.21601,                0.06115,                 2.5626,                 3.5687,                0.92009,                 2.3522,                 3.8539,                 0.8863,              0.0013069,              0.0013069,              0.0013069
                     32,                 1.3322,                 1.3075,                0.94884,                 1.4777,                 2.3444,                0.90838,                  0.042,                0.48148,                 0.1904,                0.05876,                 2.3517,                 3.3454,                0.93941,                 2.3222,                 3.7862,                0.89097,              0.0013492,              0.0013492,              0.0013492
                     33,                 1.3446,                    1.2,                 0.9275,                 1.5438,                 1.9828,                0.91448,                 0.0409,                0.50899,                0.23449,                0.06122,                 2.5101,                  3.291,                0.96119,                 2.4341,                 3.7575,                0.91972,              0.0013915,              0.0013915,              0.0013915
                     34,                 1.4573,                 1.4317,                0.98554,                 1.6377,                 2.3792,                0.96051,                0.04296,                0.46455,                0.22283,                0.05856,                 2.4167,                  3.245,                0.95105,                 2.5349,                 3.6986,                 0.9183,              0.0014197,              0.0014197,              0.0014197
                     35,                 1.4705,                 1.3108,                0.98095,                 1.5845,                 2.2517,                0.94424,                0.03184,                0.37884,                0.19763,                0.04134,                 2.6189,                 3.2198,                0.99293,                  2.752,                 3.7052,                0.94512,              0.0014197,              0.0014197,              0.0014197
                     36,                 1.4515,                 1.2512,                0.93081,                 1.5879,                 2.0254,                0.89128,                0.03846,                0.44339,                 0.2438,                0.09101,                 2.1934,                 3.2607,                0.89702,                 2.2194,                 3.5769,                 0.8712,              0.0014194,              0.0014194,              0.0014194
                     37,                 1.4447,                 1.2672,                  1.006,                 1.6702,                 2.2459,                0.95111,                0.40902,                0.35873,                0.28397,                0.10116,                 2.2917,                 3.0955,                 0.9027,                 2.2782,                  3.424,                0.87368,              0.0014191,              0.0014191,              0.0014191
                     38,                 1.3583,                 1.1664,                0.92904,                 1.5412,                 1.9378,                0.88891,                0.23903,                0.37778,                0.25584,                0.08365,                 2.1464,                 2.9159,                0.94567,                  2.507,                 3.0938,                0.90054,              0.0014188,              0.0014188,              0.0014188
                     39,                 1.4942,                 1.3668,                0.93397,                 1.6001,                 2.1772,                0.88879,                 0.1522,                0.43386,                0.23486,                0.08531,                 2.2802,                 2.9258,                0.93255,                 2.5879,                 3.0695,                0.90997,              0.0014185,              0.0014185,              0.0014185
                     40,                 1.3063,                 1.2233,                0.92139,                 1.5532,                 2.2004,                0.89488,                0.32002,                0.14473,                0.32052,                0.10117,                 2.4653,                  2.695,                0.90969,                 2.7297,                 2.8253,                0.93896,              0.0014182,              0.0014182,              0.0014182
                     41,                 1.3029,                  1.054,                0.93937,                 1.4527,                 1.6447,                0.90393,                0.52176,                0.15891,                0.40107,                0.11357,                 2.4448,                 2.5093,                0.93085,                 2.6591,                 2.6704,                0.96526,               0.001418,               0.001418,               0.001418
                     42,                 1.3146,                 1.2595,                0.98683,                 1.5311,                  2.012,                0.94615,                0.48383,                0.16085,                 0.4118,                0.10207,                 2.6332,                 2.5461,                0.99025,                 2.5863,                 2.7759,                0.96743,              0.0014177,              0.0014177,              0.0014177
                     43,                 1.2289,                 1.0492,                0.90617,                 1.4867,                 1.8135,                0.90018,                0.63995,                0.11549,                0.36854,                0.10459,                  2.399,                 2.6986,                0.96546,                 2.4006,                 2.9784,                0.93675,              0.0014174,              0.0014174,              0.0014174
                     44,                  1.559,                 1.3365,                0.96763,                 1.8708,                 2.2965,                0.93798,                 0.0436,                0.61481,                0.30164,                0.09451,                 2.5176,                  2.936,                0.98003,                 2.5404,                 3.2049,                  0.929,              0.0014171,              0.0014171,              0.0014171
                     45,                 1.4124,                 1.1338,                 1.0055,                 1.6072,                 1.8868,                0.95124,                0.04222,                0.64127,                0.29061,                0.11145,                 2.4642,                 2.8769,                0.96784,                 2.5851,                 3.1551,                0.93722,              0.0014168,              0.0014168,              0.0014168
                     46,                 1.4479,                 1.1822,                0.99608,                 1.8842,                 2.2348,                0.93394,                0.55536,                0.27296,                0.40003,                0.13338,                 2.4926,                 2.6157,                 1.0104,                  2.579,                 2.9684,                0.96828,              0.0014166,              0.0014166,              0.0014166
                     47,                 1.3957,                 1.1112,                  0.913,                 1.6396,                 1.7692,                0.90836,                 0.4863,                0.30183,                0.37753,                0.12354,                 2.4878,                 2.4451,                 1.0083,                 2.5953,                 2.8373,                0.96919,              0.0014163,              0.0014163,              0.0014163
